,2003,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
B-BarrowStAlbionSt,,,,,47.0,,51.0,,,,82.0
B-EwingStBrunswickRd,,,,,71.0,,142.0,,,118.0,
B-FraserStAlbionSt,,,,,,37.0,,26.0,,,41.0
B-GranthamDawsonSt,,,,,,,50.0,,72.0,63.0,
B-GrayBrunswick,,,,,13.0,,31.0,,,,
B-SydneyRdAlbionSt,,,,,,74.0,,58.0,,75.0,
B-SydneyRdBlythSt,,,,,71.0,,71.0,,,,76.0
B-SydneyRdBrunswickRd,,,,,146.0,,,246.0,,,198.0
B-SydneyRdGlenlyonRd,,0.0,,0.0,,0.0,,,,158.0,
B-SydneyRdParkSt,165.0,,193.0,,254.0,,198.0,,632.0,,
B-SydneyRdVictoriaSt,,,,,,109.0,,119.0,,,103.0
B-UpfieldAlbionSt,,,,152.0,,194.0,,,,264.0,
B-UpfieldBrunswickRd,,,,246.0,,,,468.0,,,514.0
B-UpfieldDawsonSt,,,,,,311.0,,478.0,,,0.0
B-UpfieldParkSt,,,277.0,,369.0,,285.0,,665.0,,
B-UpfieldVictoriaSt,,,,,,257.0,,343.0,,,412.0
BE-BellvueStBlythSt,,,,,,,80.0,,79.0,,
BE-CanningBrunswick,,,,,,,,,,,74.0
BE-JohnStGlenlyonRd,,,,0.0,,,141.0,,,171.0,
BE-LygonStBlythSt,,,,,,,68.0,,71.0,,
BE-LygonStBrunswickRd,,,,108.0,102.0,,,,128.0,,
BE-LygonStGlenlyonRd,,,,92.0,,71.0,,,,118.0,
BE-MerriCrkBlythSt,,,,,,,,101.0,,141.0,
BE-MerriCrkSumner,,,,,,,,82.0,,76.0,
BE-NicholsonStBlythSt,,,,,60.0,,71.0,,,,49.0
BE-NicholsonStBrunswickRd,,,,54.0,,52.0,,,,46.0,
BE-NicholsonStGlenlyonRd,,,,,,64.0,,65.0,,,59.0
BE-TruscottBrunswickRd,,,,108.0,120.0,,,,158.0,,130.0
BW-55TramParkSt,,,,,,,90.0,117.0,,,118.0
BW-CityLinkBrunswickRd,,,,,,16.0,,22.0,,,26.0
BW-CityLinkDawsonSt,,0.0,,4.0,,,,,20.0,,
BW-CityLinkVictoriaSt,,,,,,,,10.0,,,
BW-DalyStDawsonSt,,,,46.0,,18.0,,,,53.0,
BW-FlemingStParkSt,,,,,,,44.0,,39.0,,
BW-GranthamStBrunswickRd,,,,46.0,,48.0,,,,,72.0
BW-HopetounAvAlbionSt,,,,,8.0,,12.0,,,17.0,
BW-JolleyStAlbionSt,,,,,30.0,,,,38.0,,
BW-MelvilleDawsonSt,,,,0.0,,15.0,,,,32.0,
BW-MelvilleRdVictoriaSt,,,,19.0,17.0,,28.0,,,,37.0
BW-PearsonStVictoriaSt,,,,,35.0,,59.0,,,58.0,
C-BarrowStHardingSt,,,,11.0,,,18.0,,,,32.0
C-BarrowStMorelandRd,,,,0.0,,50.0,,,,51.0,
C-BarrowStRennieSt,,,,,,,,34.0,,,40.0
C-BourkeStOHeaSt,,,,,,13.0,,38.0,,43.0,
C-DeCarleStMorelandRd,,,,,21.0,,21.0,,,28.0,
C-HaigAvMorelandRd,,,,,20.0,22.0,,,,32.0,
C-MerriCrkDeCheneBridge,,,,,18.0,,,,,,32.0
C-MerriCrkHardingSt,,,,,,28.0,,,41.0,,50.0
C-MerriCrkMorelandRd,,,,,,,,74.0,,74.0,
C-NicholsonStHardingSt,,,,,0.0,,27.0,,,,21.0
C-NicholsonStMorelandRd,,,,33.0,,25.0,,,,42.0,
C-ShaftsburyStMunroSt,,,,,7.0,9.0,,,,12.0,
C-SydneyRdMorelandRd,,,32.0,,31.0,,39.0,,77.0,,
C-SydneyRdMunroSt,,,13.0,,25.0,,22.0,,51.0,,
C-SydneyRdOHeaSt,,,,,,,,36.0,,23.0,
C-UpfieldMorelandRd,,,83.0,,128.0,,113.0,,247.0,,
C-UpfieldMunroSt,,,,,51.0,70.0,65.0,,122.0,,
C-UpfieldOHeaSt,,,,39.0,,39.0,86.0,,,,82.0
CN-ElizabethStBoyneSt,,,,,,,17.0,,9.0,,
CN-NewlandsRdCarrSt,,,,,,,3.0,,4.0,,
CN-SussexStBoundaryRd,,,,5.0,,,3.0,,,,4.0
CN-SydneyRdBakersRd,,,,,4.0,,2.0,,10.0,,
CN-UpfieldBakersRd,,,,,19.0,,5.0,,14.0,,
CN-UpfieldBoundaryRd,,,,14.0,9.0,,,,12.0,,
CN-UpfieldGaffneySt,,,,29.0,,37.0,,,,60.0,
F-McBrydeStVictorySt,,,,,1.0,,,,2.0,,
F-MerriCrkQueensPde,,,,,0.0,,,,0.0,,
F-UpfieldBoxForestRd,,,,7.0,3.0,,,,4.0,,
F-WilliamStAndersonRd,,,,,0.0,,,,3.0,1.0,
F-WyunaStYungeraSt,,,,,,,0.0,,2.0,,
FN-KingStGlenlyon,,,,,,,62.0,,,,
G-HarringtonStWestRingRdTrail,,,,,,,1.0,,2.0,,
G-LoganStGlenroyRd,,,,,0.0,0.0,,,,2.0,
G-PascoeValeRdGlenroyRd,,,,2.0,,2.0,,,3.0,,
G-WidfordStWestRingRdTrail,,,,,,,,2.0,,,7.0
Gow-MooneePondsCrkTrestleBridge,,,,,,,,4.0,,,
Gow-MooneePondsCrkWestRingRd,,,,,,,,0.0,,,
Gow-WestRingRdTrailGowanbraeDr,,,,,,,,2.0,,,
H-HiltonStWestSt,,,,,0.0,,,,,1.0,
MerriCrkTrailWestRingRdTrail,,,,,,,,3.0,,,
OP-PascoeValeRdWinifredSt,,,,,2.0,0.0,,,4.0,,
OP-StationRdMeakerAv,,,,,,,2.0,,1.0,,3.0
OP-WaterlooStSnellGv,,,,,,,2.0,,2.0,,
PV-BurgandyStGaffneySt,,,,8.0,6.0,,,,12.0,,
PV-CumberlandRdEssexSt,,,,5.0,4.0,,,,5.0,,
PV-DerbyStGaffneySt,,,,,4.0,,17.0,,,16.0,
PV-LandellsRdKentRd,,,,,,,,3.0,,,
PV-WestStBoundaryRd,,,,,2.0,,6.0,,,,15.0
PVS-KernanAvTateSt,,,,,,2.0,,8.0,12.0,,
PVS-MelvilleRdMorelandRd,,,,28.0,,19.0,,,,16.0,
PVS-MelvilleRdRenyardSt,,,,,,,4.0,,12.0,,
PVS-MooneePondsCrkMorelandRd,,,,,,,14.0,,17.0,,
PVS-ReynoldsPdeReynardSt,,,,,,7.0,,,8.0,,
PVS-SussexStOHeaSt,,,,13.0,4.0,,,,17.0,,
SydneyRdWestRingRdTrail,,,,,,,,3.0,,,5.0
